पद समूह,सूत्राणि,संधि-कृत रूप
यातयामम् गतरसम्,- [[मोऽनुस्वारः (8.3.23)]],यातयामं गतरसम्
गतरसम् पूति,- [[मोऽनुस्वारः (8.3.23)]],गतरसं पूति
पूति पर्युषितम्,-,पूति पर्युषितम्
पर्युषितम् च,- [[मोऽनुस्वारः (8.3.23)]],पर्युषितं च
च यत्,-,च यत्
यत्,- [[झलां जशोऽन्ते (8.2.39)]] [[वाऽवसाने (8.4.56)]],यत्
उच्छिष्टम् अपि,-,उच्छिष्टम् अपि
अपि च,-,अपि च
च अमेध्यम्,- [[अकः सवर्णे दीर्घः (6.1.101)]],चामेध्यम्
चामेध्यम् भोजनम्,- [[मोऽनुस्वारः (8.3.23)]],चामेध्यं भोजनम्
भोजनम् तामसप्रियम्,- [[मोऽनुस्वारः (8.3.23)]],भोजनं तामसप्रियम्
तामसप्रियम्,-,तामसप्रियम्
