पद समूह,सूत्राणि,संधि-कृत रूप
यत् अहङ्कारम्,- [[झलां जशोऽन्ते (8.2.39)]],यद् अहङ्कारम्
अहङ्कारम् आश्रित्य,-,अहङ्कारम् आश्रित्य
आश्रित्य न,-,आश्रित्य न
न योत्स्ये,-,न योत्स्ये
योत्स्ये इति,- [[एचोऽयवायावः (6.1.78)]] [[लोपः शाकल्यस्य (8.3.19)]],योत्स्य इति
इति मन्यसे,-,इति मन्यसे
मन्यसे,-,मन्यसे
मिथ्या एषस्,- [[वृद्धिरेचि (6.1.88)]],मिथ्यैषस्
मिथ्यैषस् व्यवसायस्,- [[एतत्तदोः सुलोपोऽकोरनञ्समासे हलि (6.1.132)]],मिथ्यैष व्यवसायस्
व्यवसायस् ते,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],व्यवसायस् ते
ते प्रकृतिस्,-,ते प्रकृतिस्
प्रकृतिस् त्वाम्,- [[ससजुषो रुः (8.2.66)]] [[तस्य लोपः (1.3.9)]] [[खरवसानयोर्विसर्जनीयः (8.3.15)]] [[विसर्जनीयस्य सः (8.3.34)]],प्रकृतिस् त्वाम्
त्वाम् नियोक्ष्यति,- [[मोऽनुस्वारः (8.3.23)]],त्वां नियोक्ष्यति
नियोक्ष्यति,-,नियोक्ष्यति
