पद समूह,सूत्राणि,संधि-कृत रूप
सर्वभूतेषु येन,-,सर्वभूतेषु येन
येन एकम्,- [[वृद्धिरेचि (6.1.88)]],येनैकम्
येनैकम् भावम्,- [[मोऽनुस्वारः (8.3.23)]],येनैकं भावम्
भावम् अव्ययम्,-,भावम् अव्ययम्
अव्ययम् ईक्षते,-,अव्ययम् ईक्षते
ईक्षते,-,ईक्षते
अविभक्तम् विभक्तेषु,- [[मोऽनुस्वारः (8.3.23)]],अविभक्तं विभक्तेषु
विभक्तेषु तत्,-,विभक्तेषु तत्
तत् ज्ञानम्,- [[झलां जशोऽन्ते (8.2.39)]] [[स्तोः श्चुना श्चुः (8.4.40)]],तज् ज्ञानम्
ज्ञानम् विद्धि,- [[मोऽनुस्वारः (8.3.23)]],ज्ञानं विद्धि
विद्धि सात्त्विकम्,-,विद्धि सात्त्विकम्
सात्त्विकम्,-,सात्त्विकम्
